Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1425,47,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407955745.740	,1.820,380.410000,5,0,NO,"""5,48,128;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""5,16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008,8315,0.008,0.008,0.505,0.501,0.132,0.131,0.143,0.142,0.063,0.000
0,4294967295,1426,47,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407955875.860	,1.660,128.180000,5,0,NO,"""5,48,128;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""5,16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,7907,0.008,0.009,0.51,0.532,0.125,0.13,0.141,0.147,0.074,0.000
0,4294967295,1427,47,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774076407955957.920	,1.940,80.590000,5,0,NO,"""5,48,128;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""5,16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.143,9427,0.008,0.007,0.327,0.286,0.125,0.109,0.141,0.123,0.229,0.000
0,4294967295,1428,47,fused_gdn_gating_kernel,fused_gdn_gating_kernel,static,AI_VECTOR_CORE,1774076407977152.780	,3.520,21192.810000,5,0,YES,"""16;5,16;5,16""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""1,5,16;1,5,16""",FLOAT;DT_BF16,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.642,21793,0.502,0.19,0.586,0.222,0.376,0.142,0.406,0.154,0.111,0.000
0,4294967295,1429,47,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1774076407977926.000	,27.780,769.730000,40,0,NO,"""2045,16,128,128;1;4;1""",FLOAT;INT64;INT64;INT32,NCHW;ND;ND;ND,"""1,16,128,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.364,552011,0.008,0.001,0.279,0.033,0.43,0.051,0.181,0.022,0.283,0.000
0,4294967295,1430,47,aclnnBitwiseNot_LogicalNotAiCore_LogicalNot,LogicalNot,dynamic,AI_VECTOR_CORE,1774076407980108.220	,1.520,2154.470000,1,0,NO,"""1""",BOOL,ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,1532,0.112,0.12,0.315,0.339,0.122,0.132,0.142,0.153,0.17,0.000
0,4294967295,1431,47,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774076407980378.980	,1.440,269.230000,1,0,NO,"""1;""",INT64;FLOAT,ND;ND,"""1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1601,0.008,0.009,0.264,0.272,0.109,0.112,0.119,0.123,0.175,0.000
0,4294967295,1432,47,aclnnNonzeroV2_NonzeroAiCore_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1774076407996816.800	,12.360,16436.310000,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.887,586512,0.014,0.002,0.743,0.084,1.747,0.197,0.004,0.0,0.407,0.000
0,4294967295,1433,47,aclnnNonzeroV2_NonzeroAiCore_NonZero,NonZero,dynamic,MIX_AIV,1774076407997006.060	,3.560,176.890000,1,0,NO,"""1""",BOOL,ND,"""1,1""",INT64,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.247,5358,0.174,0.054,1.008,0.311,0.514,0.158,0.5,0.154,0.104,0.000
0,4294967295,1434,47,aclnnIndexPutImpl_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1774076408052310.200	,6.580,55300.690000,40,0,NO,"""1,1,1,1;4""",FLOAT;INT64,ND;ND,"""1,16,128,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,289730,0.095,0.022,0.207,0.047,0.693,0.158,1.016,0.231,0.145,0.000
