Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,13.37,13.37,0,0,0,0
aclnnSub,,,6.22,6.22,1.82,1.82,0,0
aten::slice,,,8.67,13.11,0,0,0,0
aten::as_strided,,,4.44,4.44,0,0,0,0
aten::slice,,,3.71,5.16,0,0,0,0
aten::as_strided,,,1.45,1.45,0,0,0,0
aten::sub,,,26.26,26.26,0,0,0,0
aten::select,,,10.27,12.79,0,0,0,0
aten::as_strided,,,2.52,2.52,0,0,0,0
aten::item,,,4.83,8.34,0,0,0,0
aten::_local_scalar_dense,,,3.51,3.51,0,0,0,0
aten::select,,,6.95,12.04,0,0,0,0
aten::as_strided,,,5.09,5.09,0,0,0,0
aten::gt,,,4751.57,4794.77,0,4.46,0,0
empty_tensor,,,18.95,18.95,0,0,0,0
aclnnGtScalar,,,24.25,24.25,4.46,4.46,0,0
aten::diff,,,15.89,67.84,0,0,0,0
aten::narrow,,,19.19,29.28,0,0,0,0
aten::slice,,,5.78,10.09,0,0,0,0
aten::as_strided,,,4.31,4.31,0,0,0,0
aten::narrow,,,2.49,4.85,0,0,0,0
aten::slice,,,1.36,2.36,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::sub,,,17.82,17.82,0,0,0,0
aten::neg,,,56.01,56.01,0,0,0,0
aten::floor_divide,,,24.88,54.68,0,0,0,0
aten::to,,,2.63,25.69,0,0,0,0
aten::_to_copy,,,7.21,23.06,0,0,0,0
aten::empty_strided,,,5.08,5.08,0,0,0,0
aten::copy_,,,10.77,10.77,0,0,0,0
aten::empty,,,4.11,4.11,0,0,0,0
aten::neg,,,5.26,5.26,0,0,0,0
aten::sum,,,5.61,68.09,0,0,0,0
aten::sum,,,44.28,62.48,0,0,0,0
aten::as_strided,,,2.43,2.43,0,0,0,0
aten::to,,,1.51,13.23,0,0,0,0
aten::_to_copy,,,3.06,11.72,0,0,0,0
aten::empty_strided,,,2.1,2.1,0,0,0,0
aten::copy_,,,6.56,6.56,0,0,0,0
aten::fill_,,,2.54,2.54,0,0,0,0
aten::item,,,3.17,5.94,0,0,0,0
aten::_local_scalar_dense,,,2.77,2.77,0,0,0,0
aten::detach,,,6.59,6.59,0,0,0,0
aten::to,,,2.25,2.25,0,0,0,0
aten::resolve_conj,,,1.11,1.11,0,0,0,0
aten::resolve_neg,,,1.16,1.16,0,0,0,0
aten::lift_fresh,,,2.32,2.32,0,0,0,0
aten::unbind,,,5.65,14.49,0,0,0,0
aten::select,,,6.5,8.84,0,0,0,0
aten::as_strided,,,2.34,2.34,0,0,0,0
aten::item,,,2.37,4.19,0,0,0,0
aten::_local_scalar_dense,,,1.82,1.82,0,0,0,0
aten::empty,,,5.5,5.5,0,0,0,0
aten::to,,,2.39,2.39,0,0,0,0
aten::lift_fresh,,,0.83,0.83,0,0,0,0
aten::detach_,,,1.46,1.46,0,0,0,0
aten::full,,,12.06,147.43,0,2.18,0,0
empty_tensor,,,18.03,18.03,0,0,0,0
aten::fill_,,,110.54,117.34,0,2.18,0,0
aclnnInplaceFillScalar,,,6.8,6.8,2.18,2.18,0,0
aten::full,,,7.09,94.0,0,1.98,0,0
empty_tensor,,,12.83,12.83,0,0,0,0
aten::fill_,,,69.67,74.08,0,1.98,0,0
aclnnInplaceFillScalar,,,4.41,4.41,1.98,1.98,0,0
aten::slice,,,8.63,13.93,0,0,0,0
aten::as_strided,,,5.3,5.3,0,0,0,0
aten::copy_,,,3262.87,3341.21,0,0,0,0
aten::to,,,2.97,29.71,0,0,0,0
aten::_to_copy,,,6.29,26.74,0,0,0,0
aten::empty_strided,,,6.25,6.25,0,0,0,0
aten::copy_,,,14.2,14.2,0,0,0,0
aten::expand_as,,,31.59,43.85,0,0,0,0
aten::expand,,,9.46,12.26,0,0,0,0
aten::as_strided,,,2.8,2.8,0,0,0,0
acl_memcpy_host_to_device,,,4.78,4.78,0,0,0,0
aten::slice,,,6.02,12.49,0,0,0,0
aten::as_strided,,,6.47,6.47,0,0,0,0
aten::copy_,,,134.61,165.63,0,0,0,0
acl_memcpy_host_to_device,,,31.02,31.02,0,0,0,0
aten::slice,,,12.51,20.44,0,0,0,0
aten::as_strided,,,7.93,7.93,0,0,0,0
aten::slice,,,4.71,9.26,0,0,0,0
aten::as_strided,,,4.55,4.55,0,0,0,0
aten::slice,,,4.0,5.92,0,0,0,0
aten::as_strided,,,1.92,1.92,0,0,0,0
aten::fill_,,,25.06,51.64,0,0,0,0
aclnnInplaceFillScalar,,,26.58,26.58,0,0,0,0
aten::slice,,,5.13,8.04,0,0,0,0
aten::as_strided,,,2.91,2.91,0,0,0,0
aten::fill_,,,13.2,40.46,0,0,0,0
aclnnInplaceFillScalar,,,27.26,27.26,0,0,0,0
aten::slice,,,6.35,10.8,0,0,0,0
aten::as_strided,,,4.45,4.45,0,0,0,0
aten::slice,,,3.79,6.21,0,0,0,0
aten::as_strided,,,2.42,2.42,0,0,0,0
aten::sub,,,21.73,70.3,0,1.72,0,0
empty_tensor,,,14.18,14.18,0,0,0,0
aclnnSub,,,34.39,34.39,1.72,1.72,0,0
aten::sub,,,13.84,26.47,0,1.68,0,0
empty_tensor,,,9.15,9.15,0,0,0,0
aclnnSub,,,3.48,3.48,1.68,1.68,0,0
aten::slice,,,6.18,11.22,0,0,0,0
aten::as_strided,,,5.04,5.04,0,0,0,0
aten::slice,,,2.53,3.63,0,0,0,0
aten::as_strided,,,1.1,1.1,0,0,0,0
aten::sub,,,17.39,17.39,0,0,0,0
aten::select,,,4.49,6.12,0,0,0,0
aten::as_strided,,,1.63,1.63,0,0,0,0
aten::item,,,2.28,4.09,0,0,0,0
aten::_local_scalar_dense,,,1.81,1.81,0,0,0,0
aten::select,,,6.16,10.23,0,0,0,0
aten::as_strided,,,4.07,4.07,0,0,0,0
aten::gt,,,22.66,35.32,0,4.0,0,0
empty_tensor,,,8.8,8.8,0,0,0,0
aclnnGtScalar,,,3.86,3.86,4.0,4.0,0,0
aten::diff,,,7.99,38.17,0,0,0,0
aten::narrow,,,6.57,12.44,0,0,0,0
aten::slice,,,2.87,5.87,0,0,0,0
aten::as_strided,,,3.0,3.0,0,0,0,0
aten::narrow,,,2.92,5.27,0,0,0,0
aten::slice,,,1.26,2.35,0,0,0,0
aten::as_strided,,,1.09,1.09,0,0,0,0
aten::sub,,,12.47,12.47,0,0,0,0
aten::neg,,,6.87,6.87,0,0,0,0
aten::floor_divide,,,13.02,36.35,0,0,0,0
aten::to,,,2.56,20.01,0,0,0,0
aten::_to_copy,,,6.15,17.45,0,0,0,0
aten::empty_strided,,,3.84,3.84,0,0,0,0
aten::copy_,,,7.46,7.46,0,0,0,0
aten::empty,,,3.32,3.32,0,0,0,0
aten::neg,,,4.22,4.22,0,0,0,0
aten::sum,,,2.38,28.99,0,0,0,0
aten::sum,,,12.18,26.61,0,0,0,0
aten::as_strided,,,1.63,1.63,0,0,0,0
aten::to,,,1.11,11.37,0,0,0,0
aten::_to_copy,,,2.98,10.26,0,0,0,0
aten::empty_strided,,,2.11,2.11,0,0,0,0
aten::copy_,,,5.17,5.17,0,0,0,0
aten::fill_,,,1.43,1.43,0,0,0,0
aten::item,,,2.3,4.18,0,0,0,0
aten::_local_scalar_dense,,,1.88,1.88,0,0,0,0
aten::detach,,,4.14,4.14,0,0,0,0
aten::to,,,1.99,1.99,0,0,0,0
aten::resolve_conj,,,0.93,0.93,0,0,0,0
